,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
43519,M3,2024,Africa,Silver,Electric,Manual,2.7,165623,50031,8773,High
628,i8,2013,Asia,Black,Diesel,Manual,2.6,121993,60810,2862,Low
20736,3 Series,2020,North America,Red,Petrol,Manual,1.9,163123,113805,6292,Low
11902,5 Series,2017,North America,Silver,Petrol,Manual,2.0,52369,66592,7392,High
6366,X3,2014,Europe,Black,Diesel,Automatic,2.2,47352,114879,9708,High
17132,i3,2011,Africa,Red,Hybrid,Manual,3.4,60465,116655,6477,Low
9478,X3,2019,North America,Blue,Petrol,Manual,3.2,184085,35200,3454,Low
41870,7 Series,2011,North America,Black,Diesel,Manual,4.9,31942,41029,1958,Low
12932,X1,2023,Africa,White,Electric,Manual,2.4,23409,71423,9585,High
13641,i3,2022,North America,Grey,Diesel,Manual,4.9,125851,82817,6320,Low
19626,X5,2018,Middle East,Black,Petrol,Manual,4.3,172987,117367,9665,High
9951,i8,2024,Africa,Blue,Petrol,Manual,5.0,169839,110263,690,Low
28962,M3,2017,South America,Silver,Diesel,Manual,4.0,20271,89283,9897,High
28445,X3,2018,Asia,Silver,Electric,Manual,5.0,104709,87873,3797,Low
19698,X3,2018,South America,Grey,Diesel,Automatic,4.5,120590,112712,207,Low
44223,i3,2022,South America,Black,Petrol,Manual,4.2,58629,109510,2641,Low
2996,X1,2012,Europe,Silver,Hybrid,Manual,4.1,91560,81538,1057,Low
13637,7 Series,2015,Africa,Black,Petrol,Manual,4.8,138915,56734,4131,Low
22470,7 Series,2016,Middle East,Silver,Diesel,Automatic,1.5,181607,58302,7312,High
36086,X5,2013,Asia,Grey,Electric,Manual,2.0,190327,74053,1392,Low
28917,5 Series,2020,South America,Blue,Hybrid,Manual,4.7,19530,74535,3083,Low
17649,X1,2022,Asia,Red,Petrol,Manual,4.5,105834,77001,1057,Low
27955,M5,2014,Africa,Black,Diesel,Manual,3.9,5547,65027,1585,Low
2854,X1,2020,Europe,Blue,Hybrid,Automatic,2.5,140851,42358,5415,Low
13389,i3,2011,Europe,Black,Electric,Automatic,4.9,163496,41832,6543,Low
13048,7 Series,2020,North America,Grey,Diesel,Manual,3.4,132069,44937,5878,Low
22332,M3,2015,Middle East,Red,Electric,Automatic,3.6,105649,83223,265,Low
30577,X1,2019,South America,Red,Electric,Automatic,3.8,174578,48639,5843,Low
34734,X3,2014,South America,Red,Diesel,Manual,1.9,1198,72545,6923,Low
19538,3 Series,2020,Europe,Silver,Electric,Manual,2.8,114789,82042,5641,Low
39586,7 Series,2013,South America,Black,Diesel,Manual,4.0,179798,59251,7521,High
5572,5 Series,2017,Asia,Red,Hybrid,Automatic,1.8,8731,115867,2697,Low
47750,5 Series,2013,Middle East,Red,Diesel,Manual,3.8,94669,66832,8605,High
30963,X6,2016,South America,Grey,Diesel,Automatic,3.8,121229,52652,2318,Low
35495,M5,2011,South America,Red,Electric,Automatic,2.9,40377,57929,8790,High
20262,i3,2020,South America,Blue,Petrol,Automatic,2.9,142077,101376,8427,High
44659,X6,2023,Africa,Black,Electric,Automatic,2.2,183799,54236,2757,Low
21745,5 Series,2012,South America,Blue,Hybrid,Automatic,4.6,141127,57961,2238,Low
47248,X6,2017,South America,Blue,Petrol,Manual,3.4,75163,38897,7345,High
36227,7 Series,2010,North America,Silver,Electric,Automatic,3.8,132967,104860,9438,High
28786,3 Series,2010,Europe,White,Electric,Manual,2.1,97836,32319,7259,High
35619,M5,2023,Middle East,Black,Diesel,Manual,1.8,144214,53253,4032,Low
45999,M5,2014,Africa,White,Diesel,Manual,5.0,187977,48288,817,Low
49512,i3,2016,Europe,Silver,Hybrid,Manual,2.1,150568,93240,9984,High
44514,7 Series,2022,North America,Grey,Electric,Automatic,1.6,137480,93482,4848,Low
28683,5 Series,2020,Asia,Grey,Electric,Manual,3.6,21968,43051,1017,Low
31548,i8,2021,Asia,Grey,Electric,Automatic,3.1,185849,39348,9812,High
31964,5 Series,2018,North America,White,Electric,Manual,4.2,143762,61758,7673,High
9433,5 Series,2021,Europe,Black,Electric,Automatic,4.1,17969,35660,7517,High
22373,5 Series,2022,North America,Blue,Petrol,Manual,3.2,71896,50918,9851,High
21622,X6,2019,North America,Blue,Petrol,Automatic,1.7,72050,115017,1009,Low
12451,3 Series,2016,Asia,Silver,Electric,Automatic,3.6,114805,93599,7857,High
11799,M5,2010,Africa,Blue,Hybrid,Automatic,4.9,1473,78283,480,Low
31388,3 Series,2012,Middle East,Silver,Petrol,Manual,4.6,110636,65224,6736,Low
20768,X1,2014,Africa,Red,Hybrid,Manual,2.0,159545,33667,2776,Low
4828,3 Series,2016,North America,Grey,Electric,Automatic,3.1,167336,45751,9231,High
14589,X3,2014,Europe,Grey,Electric,Automatic,4.2,92123,79288,6707,Low
1507,X1,2021,Asia,Red,Hybrid,Manual,3.5,82107,84529,6643,Low
18612,3 Series,2018,Africa,Grey,Diesel,Automatic,4.1,46827,78772,4571,Low
19302,X5,2023,Africa,Red,Petrol,Automatic,3.7,37965,68583,9713,High
38309,i8,2017,Asia,Black,Hybrid,Automatic,2.5,40571,78084,2687,Low
1738,M5,2011,Asia,Black,Hybrid,Automatic,2.9,37709,59301,5073,Low
35875,M3,2016,South America,Blue,Electric,Manual,2.1,180317,41263,9026,High
47067,X3,2015,Europe,Silver,Hybrid,Automatic,2.9,183105,42105,2360,Low
5114,X1,2014,Europe,Black,Hybrid,Manual,3.3,126316,115633,8820,High
24906,5 Series,2014,Asia,Red,Petrol,Manual,2.8,149554,39117,3171,Low
7635,X5,2019,Europe,Silver,Hybrid,Manual,2.7,83306,35642,462,Low
14398,X5,2019,North America,White,Petrol,Manual,3.1,39389,40823,8244,High
36170,M3,2018,Africa,White,Diesel,Manual,2.2,35057,79528,1096,Low
9183,5 Series,2020,Middle East,Silver,Petrol,Manual,2.7,181883,75133,8577,High
36796,M5,2011,North America,White,Electric,Manual,4.2,101142,119060,9403,High
37622,M3,2011,Asia,Silver,Petrol,Manual,4.2,74151,59108,3354,Low
1655,X1,2016,South America,Grey,Diesel,Automatic,2.9,74841,114212,1987,Low
4326,X6,2010,Europe,Blue,Electric,Automatic,2.0,171836,99577,3200,Low
27377,7 Series,2017,Middle East,Silver,Diesel,Manual,3.7,86460,31789,3257,Low
19044,7 Series,2011,Europe,White,Hybrid,Manual,4.9,151235,32403,7281,High
44328,i3,2020,Europe,Black,Hybrid,Automatic,2.7,66667,101589,656,Low
9661,3 Series,2018,Europe,Grey,Hybrid,Automatic,2.4,80206,113506,6349,Low
15914,X3,2014,Europe,Grey,Electric,Automatic,1.9,38729,70092,1237,Low
25466,M3,2023,Asia,Silver,Hybrid,Automatic,2.4,44481,74015,2225,Low
13610,i8,2024,North America,Blue,Petrol,Manual,2.3,36063,30072,8367,High
11670,M5,2014,Asia,Grey,Diesel,Manual,1.8,11662,30284,9735,High
1219,X3,2010,Middle East,Red,Hybrid,Manual,5.0,134707,41024,4317,Low
38863,X1,2018,Africa,Black,Diesel,Manual,3.2,169782,61197,2482,Low
12557,X5,2022,Asia,Silver,Hybrid,Manual,3.2,177238,56732,8742,High
39143,X1,2023,Asia,Grey,Diesel,Automatic,4.1,95339,48665,5884,Low
35508,M3,2024,Asia,Red,Electric,Automatic,2.3,185010,45428,6509,Low
11852,7 Series,2010,Africa,Red,Hybrid,Automatic,4.4,198976,61647,4544,Low
13238,X5,2017,North America,Silver,Diesel,Automatic,3.1,174528,53198,9790,High
29950,X1,2022,South America,White,Petrol,Automatic,4.1,156559,118004,8736,High
27984,i3,2014,Africa,Blue,Electric,Automatic,1.6,197678,80790,541,Low
22090,3 Series,2010,Europe,White,Hybrid,Automatic,1.6,79489,34375,3558,Low
48989,i8,2024,South America,Black,Electric,Manual,2.4,25486,64342,6552,Low
40639,5 Series,2015,Middle East,White,Hybrid,Manual,2.7,178394,77277,7055,High
28911,X1,2022,North America,Red,Hybrid,Automatic,4.5,132293,42604,4701,Low
8570,X3,2022,Europe,White,Diesel,Manual,4.8,53479,83984,353,Low
38431,5 Series,2012,South America,Red,Electric,Automatic,2.3,177560,32255,6365,Low
40525,M5,2011,South America,Red,Petrol,Manual,3.3,195714,67304,8529,High
35549,5 Series,2012,Asia,Silver,Electric,Manual,4.2,143405,88859,6392,Low
29487,X3,2022,Middle East,Black,Petrol,Automatic,2.6,59316,119421,5314,Low
26037,X6,2019,Europe,White,Electric,Manual,4.2,184450,62121,1167,Low
19370,X6,2013,Asia,Red,Electric,Automatic,3.6,194694,58079,6206,Low
44734,5 Series,2022,South America,Red,Electric,Automatic,2.2,176667,44869,4698,Low
6915,X1,2021,South America,White,Petrol,Automatic,3.1,95235,80440,5771,Low
14998,i3,2018,Europe,Blue,Petrol,Manual,2.0,4073,87065,1474,Low
16750,i8,2011,Middle East,Grey,Hybrid,Automatic,3.5,60372,85500,1747,Low
29959,X6,2022,South America,Red,Petrol,Manual,2.5,6699,99861,2208,Low
28856,i3,2016,Middle East,Red,Hybrid,Automatic,2.4,74590,56540,2930,Low
38911,i3,2014,Africa,Black,Hybrid,Manual,1.7,17095,45954,692,Low
5843,M3,2010,Europe,Blue,Hybrid,Automatic,5.0,182913,115913,4460,Low
15769,i8,2011,Middle East,Blue,Electric,Automatic,4.0,47747,73368,6925,Low
27098,X1,2011,North America,Grey,Petrol,Automatic,4.2,2147,77209,9931,High
34726,X3,2010,Africa,Blue,Petrol,Manual,2.2,8247,69512,8815,High
20930,7 Series,2019,Asia,Red,Diesel,Manual,4.0,68993,63937,744,Low
12313,5 Series,2016,North America,Red,Hybrid,Manual,1.8,175673,56938,2287,Low
8293,M3,2021,Africa,Blue,Petrol,Manual,2.1,79961,116184,7489,High
49408,7 Series,2023,Asia,Red,Diesel,Automatic,3.2,187505,100627,2345,Low
22319,X5,2023,Africa,Red,Hybrid,Manual,4.6,58814,34303,1872,Low
20486,M3,2015,North America,Black,Hybrid,Manual,2.6,157028,34033,5124,Low
22610,i8,2011,Africa,White,Hybrid,Manual,2.8,27738,39704,3139,Low
12465,X1,2024,Europe,Grey,Petrol,Manual,4.0,127607,34835,9948,High
41512,X5,2015,North America,Grey,Electric,Automatic,2.6,125452,31145,6490,Low
48609,X1,2019,North America,Silver,Electric,Automatic,4.5,51925,97701,8109,High
17672,X6,2020,Middle East,Red,Electric,Automatic,3.0,76970,34310,7338,High
8565,3 Series,2022,Middle East,Red,Petrol,Automatic,3.8,147976,83576,7408,High
42905,X1,2020,Asia,Red,Electric,Automatic,1.6,162381,86672,7076,High
33294,i3,2010,Middle East,Red,Diesel,Manual,3.7,187502,76823,5789,Low
12928,7 Series,2023,Asia,Blue,Electric,Manual,3.6,152521,51460,9592,High
8383,i3,2023,North America,Red,Petrol,Manual,4.1,7035,47550,2504,Low
26546,i3,2013,Africa,Red,Electric,Manual,4.2,77847,94022,5724,Low
21160,i3,2018,Europe,Black,Petrol,Manual,3.8,85082,49369,6619,Low
25331,X1,2016,North America,Red,Hybrid,Manual,3.1,131962,99476,6028,Low
416,X6,2023,Europe,White,Hybrid,Automatic,3.3,54800,100512,9966,High
38313,X6,2024,South America,Blue,Diesel,Automatic,1.9,20465,94714,8733,High
40758,X5,2010,South America,White,Electric,Manual,3.6,195963,54079,8138,High
1406,X5,2015,Europe,Black,Hybrid,Automatic,2.5,74607,82046,1204,Low
27988,i3,2013,South America,White,Electric,Automatic,3.7,107421,74363,254,Low
20657,X6,2018,North America,Silver,Petrol,Manual,1.9,174694,61758,9283,High
46981,M3,2012,Asia,Silver,Diesel,Automatic,2.8,11982,87159,1161,Low
29901,i8,2011,North America,Red,Diesel,Manual,3.1,89083,114654,4650,Low
32869,M5,2022,Asia,Blue,Petrol,Manual,2.7,177314,75357,3096,Low
21613,M5,2013,Asia,White,Diesel,Manual,3.0,132883,105712,3275,Low
18692,X1,2024,Middle East,Grey,Electric,Automatic,2.6,148720,102817,3213,Low
14462,X3,2023,Asia,Grey,Hybrid,Automatic,3.0,67194,82504,1547,Low
13529,M3,2012,Asia,White,Diesel,Manual,3.7,196381,77210,3389,Low
29804,M3,2022,Asia,Silver,Hybrid,Manual,3.5,171128,94314,7995,High
1444,5 Series,2024,Asia,Silver,Electric,Manual,2.9,73374,67850,5511,Low
18218,X5,2023,Africa,Blue,Electric,Manual,2.5,16040,91555,3272,Low
45063,5 Series,2014,North America,Red,Diesel,Manual,2.5,6242,68111,4483,Low
30646,3 Series,2011,South America,Blue,Diesel,Automatic,4.3,77766,114697,7018,High
49167,5 Series,2022,South America,Red,Hybrid,Manual,4.0,108669,57257,2198,Low
39989,3 Series,2021,North America,Blue,Diesel,Manual,1.8,123069,99395,4192,Low
44755,X3,2019,Asia,Blue,Hybrid,Automatic,4.1,83331,82000,2737,Low
48345,X1,2016,Asia,Black,Electric,Manual,3.4,161066,40380,9867,High
42969,X3,2010,Middle East,White,Petrol,Manual,4.4,115565,30075,3792,Low
20419,i8,2018,North America,Red,Diesel,Manual,2.1,90596,45183,5609,Low
10896,3 Series,2023,Asia,Silver,Diesel,Manual,3.2,64654,90157,5674,Low
45620,i8,2012,North America,Red,Hybrid,Automatic,2.3,140043,103479,7175,High
36349,i3,2010,Africa,Silver,Electric,Automatic,2.3,80738,75530,6747,Low
19312,X5,2024,South America,Blue,Petrol,Automatic,2.2,58599,103897,8543,High
5582,i8,2022,Asia,Grey,Electric,Automatic,4.9,89811,65170,3691,Low
6682,i8,2023,Africa,White,Hybrid,Automatic,4.1,102290,33177,5373,Low
30679,5 Series,2023,North America,Silver,Electric,Manual,1.6,46541,71540,418,Low
28388,X1,2019,South America,Black,Electric,Manual,1.5,95951,116306,2389,Low
6847,X6,2020,Middle East,Grey,Electric,Manual,2.3,162116,42276,4459,Low
15981,X1,2016,Asia,Grey,Electric,Manual,2.0,142910,103980,4557,Low
33675,i3,2020,North America,Red,Petrol,Manual,4.4,56422,109632,6177,Low
47503,X1,2021,Asia,Red,Hybrid,Automatic,4.7,139703,100021,9200,High
7565,7 Series,2011,Asia,Silver,Electric,Automatic,2.7,133153,43314,3233,Low
20728,X6,2011,South America,White,Electric,Manual,2.9,83050,98389,5478,Low
7411,i8,2023,Middle East,Blue,Diesel,Manual,3.6,103413,61949,2175,Low
25354,i3,2012,Asia,Red,Petrol,Manual,3.7,100108,55540,1700,Low
47738,7 Series,2020,Europe,Grey,Hybrid,Automatic,3.8,27215,39763,6217,Low
9758,5 Series,2014,Africa,Red,Diesel,Automatic,2.4,146673,94632,9235,High
9767,i3,2024,Asia,Silver,Petrol,Automatic,3.4,113190,50376,4688,Low
7133,M3,2011,North America,Silver,Electric,Manual,3.9,165709,42472,6440,Low
28593,X5,2018,Middle East,Black,Petrol,Manual,3.5,92454,114268,2930,Low
41209,i3,2019,Europe,Blue,Petrol,Automatic,4.0,144411,74236,2921,Low
23111,X1,2021,Middle East,Grey,Diesel,Automatic,1.8,35770,87459,9743,High
44346,X5,2015,Europe,White,Petrol,Automatic,1.5,12010,111731,1935,Low
22809,i8,2017,South America,Blue,Electric,Automatic,4.7,22525,43738,7425,High
20507,5 Series,2024,Middle East,Black,Diesel,Automatic,1.6,6505,104903,2586,Low
45705,i8,2019,Asia,White,Petrol,Manual,3.5,5639,113777,5575,Low
21761,X3,2016,Asia,Red,Hybrid,Manual,2.6,37159,62782,7616,High
21495,3 Series,2017,Africa,Silver,Hybrid,Manual,1.9,153213,81624,8201,High
11504,5 Series,2024,Africa,Black,Electric,Manual,2.0,164515,46911,9925,High
32456,X3,2010,Middle East,Blue,Diesel,Automatic,3.6,3074,112825,9915,High
44209,X3,2018,Asia,White,Hybrid,Automatic,3.2,189436,70001,6927,Low
43812,X5,2021,South America,Blue,Petrol,Automatic,3.4,124782,55860,758,Low
18264,M3,2015,Europe,Silver,Electric,Automatic,3.6,52606,79913,3010,Low
41114,i8,2012,North America,Red,Hybrid,Automatic,3.4,183762,68593,602,Low
20034,i8,2015,North America,Blue,Electric,Automatic,4.2,73211,30481,731,Low
10075,i8,2017,Middle East,Red,Electric,Manual,1.7,74572,105990,7041,High
37296,X6,2015,Middle East,Black,Petrol,Manual,2.5,50200,76558,197,Low
14276,X1,2015,Asia,Grey,Electric,Manual,3.8,165372,87327,4575,Low
35780,M3,2013,Africa,Black,Diesel,Manual,2.3,68469,119857,7601,High
16870,i8,2022,South America,Blue,Hybrid,Manual,2.4,196566,60827,6553,Low
4229,X5,2014,South America,Red,Diesel,Manual,5.0,47557,78655,8961,High
49029,X1,2015,Europe,Blue,Hybrid,Automatic,3.0,165937,53690,5653,Low
167,i8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low
14446,M3,2022,Middle East,Silver,Electric,Manual,3.8,95155,87053,4886,Low
36716,X1,2011,North America,Blue,Hybrid,Automatic,3.2,3067,64618,1657,Low
36164,5 Series,2016,South America,Blue,Diesel,Manual,3.7,158949,74587,9594,High
14473,X1,2015,South America,Silver,Diesel,Manual,4.7,77349,45559,4459,Low
44426,X1,2020,Africa,Silver,Diesel,Manual,4.7,102119,64283,6971,Low
46116,i8,2022,Africa,Grey,Diesel,Automatic,1.8,43921,43297,9130,High
30625,M3,2013,Europe,Silver,Electric,Automatic,2.3,6864,48991,7088,High
9960,i8,2023,Middle East,Grey,Hybrid,Manual,3.2,145621,96201,9731,High
38722,5 Series,2016,North America,Silver,Hybrid,Automatic,1.5,141787,96634,7536,High
28344,M3,2016,Middle East,White,Hybrid,Automatic,3.2,36740,57080,9895,High
16437,i3,2021,North America,Silver,Diesel,Manual,1.7,135325,72217,1772,Low
8853,X3,2013,Middle East,Black,Hybrid,Manual,4.2,160634,107140,737,Low
17363,X3,2022,Asia,White,Diesel,Automatic,4.0,74304,91406,8623,High
4580,X5,2014,Asia,Grey,Diesel,Automatic,3.4,32303,96281,1897,Low
47303,i8,2016,Europe,Red,Diesel,Automatic,2.4,100514,99924,7604,High
44679,7 Series,2023,North America,Blue,Petrol,Automatic,2.6,99269,51210,2885,Low
15192,X5,2022,Middle East,Black,Electric,Manual,1.6,164451,64697,3057,Low
31447,7 Series,2019,Asia,White,Petrol,Manual,2.0,192606,99412,8692,High
5525,3 Series,2020,South America,Silver,Hybrid,Manual,4.6,140007,61963,2426,Low
39227,X3,2015,Europe,Silver,Diesel,Manual,3.3,11615,94644,6411,Low
3467,i3,2018,Africa,White,Electric,Automatic,2.3,36589,84428,4699,Low
15073,5 Series,2024,Africa,Silver,Hybrid,Manual,2.7,67051,91653,5170,Low
48705,i3,2010,Europe,Black,Diesel,Manual,1.7,98639,115527,3561,Low
13609,X3,2016,South America,White,Diesel,Manual,2.0,128956,98389,7433,High
18785,X3,2024,Middle East,Grey,Electric,Automatic,4.7,33113,55616,1261,Low
39757,7 Series,2023,Middle East,Grey,Petrol,Manual,3.4,141634,81364,4019,Low
24216,i8,2023,Europe,Red,Diesel,Manual,2.5,177427,32598,6616,Low
33985,X3,2021,Africa,White,Diesel,Automatic,4.0,149612,112653,9556,High
11625,M5,2015,Middle East,Blue,Hybrid,Manual,1.7,188446,94508,6368,Low
12136,X6,2012,Africa,Red,Petrol,Manual,3.4,62177,37808,3494,Low
12628,X5,2015,Middle East,Grey,Hybrid,Manual,2.6,12073,77131,9216,High
28347,M5,2023,Asia,Black,Hybrid,Automatic,1.9,126676,80435,8674,High
43511,5 Series,2024,North America,White,Electric,Automatic,3.9,37558,91295,625,Low
5872,i3,2011,North America,Grey,Hybrid,Automatic,4.8,181374,46722,3600,Low
48243,i3,2023,Africa,Red,Petrol,Automatic,2.4,136539,106332,6266,Low
33981,X5,2022,Asia,Blue,Petrol,Manual,2.2,190981,31041,7990,High
31260,X1,2011,Middle East,Blue,Hybrid,Manual,4.4,92714,83307,9179,High
12292,X3,2010,Asia,Red,Electric,Manual,1.7,25199,92725,8513,High
42286,X1,2022,Africa,Blue,Electric,Manual,2.6,168808,94866,2068,Low
13664,7 Series,2014,South America,Red,Petrol,Manual,3.9,102352,93679,3464,Low
12950,M5,2015,Asia,Grey,Diesel,Automatic,4.1,112487,86635,4884,Low
31756,X5,2013,Africa,Black,Hybrid,Automatic,2.6,25263,62924,3782,Low
14513,7 Series,2014,Europe,Blue,Hybrid,Manual,1.7,129677,96386,3426,Low
20457,5 Series,2011,South America,Red,Electric,Manual,2.8,85198,88018,1711,Low
41546,i3,2018,Asia,Grey,Diesel,Automatic,2.9,157068,87516,4677,Low
850,X1,2017,South America,Black,Diesel,Manual,4.0,108002,57393,5477,Low
34767,X6,2014,Africa,Blue,Electric,Manual,2.8,71288,62294,5501,Low
24912,X5,2013,Europe,Blue,Petrol,Manual,5.0,33786,62366,2809,Low
17969,X1,2017,Asia,Black,Electric,Automatic,3.3,175251,36356,3260,Low
28376,7 Series,2015,Asia,Black,Diesel,Automatic,3.1,132949,45864,6064,Low
9889,5 Series,2011,North America,White,Petrol,Manual,4.8,112147,61704,9048,High
46455,i3,2024,Africa,Black,Electric,Manual,4.2,72969,40129,2369,Low
38499,X3,2013,Asia,Silver,Diesel,Manual,4.0,13192,98291,1562,Low
16247,M5,2012,Africa,Red,Electric,Automatic,2.5,76678,118648,5149,Low
8786,3 Series,2024,Europe,Blue,Petrol,Manual,2.4,168089,85381,6093,Low
35429,X3,2019,Asia,Silver,Hybrid,Manual,1.6,154216,36865,6932,Low
19103,3 Series,2012,Asia,Red,Diesel,Automatic,3.6,114425,56601,4923,Low
44142,i3,2024,North America,Silver,Petrol,Manual,2.2,38825,80706,3188,Low
14786,7 Series,2019,Africa,Blue,Diesel,Automatic,4.6,47194,38162,3805,Low
18216,M5,2020,Africa,Blue,Diesel,Manual,2.9,198754,109868,6298,Low
29736,X1,2023,Middle East,Grey,Diesel,Automatic,4.3,84183,116042,3707,Low
18194,X3,2023,North America,Blue,Hybrid,Manual,3.0,46673,109752,8218,High
42355,X1,2019,South America,Grey,Electric,Manual,3.6,129169,105119,2953,Low
20185,M5,2021,Europe,Blue,Hybrid,Automatic,4.3,126281,72811,5262,Low
38610,X3,2018,Asia,Black,Electric,Automatic,1.9,125361,74074,6395,Low
22655,M5,2019,Europe,Red,Electric,Manual,3.1,14747,94645,4206,Low
31785,M5,2017,North America,Red,Hybrid,Manual,2.3,47408,32353,4040,Low
36666,7 Series,2022,Africa,White,Electric,Automatic,4.6,160847,79738,5752,Low
44904,i8,2021,South America,White,Petrol,Automatic,4.2,151600,88684,3295,Low
6079,5 Series,2010,Middle East,Silver,Electric,Manual,4.3,1473,58733,6349,Low
15555,5 Series,2014,South America,Blue,Diesel,Automatic,3.1,179591,61082,2533,Low
48061,X1,2016,North America,Silver,Hybrid,Manual,2.9,73112,30622,1668,Low
24407,i8,2012,Africa,White,Hybrid,Manual,2.1,80263,70992,3252,Low
44888,M5,2015,Asia,White,Hybrid,Automatic,4.9,124332,104528,555,Low
6424,i3,2010,North America,White,Hybrid,Automatic,2.6,145272,63509,2498,Low
46202,7 Series,2015,North America,Silver,Electric,Manual,1.7,91191,103836,6649,Low
42284,X1,2012,Africa,Black,Hybrid,Manual,1.7,172484,38339,2961,Low
45698,X5,2010,Europe,Red,Electric,Manual,4.0,48211,57521,2473,Low
41460,3 Series,2011,Asia,Silver,Hybrid,Manual,4.0,5996,62600,1096,Low
28417,X1,2011,Africa,Grey,Hybrid,Manual,2.5,103157,59687,286,Low
18150,i3,2012,Europe,Red,Petrol,Automatic,3.8,18502,78308,2064,Low
30623,X6,2011,Africa,Grey,Electric,Automatic,3.1,112359,55146,7618,High
3150,5 Series,2019,Asia,White,Electric,Manual,3.9,2094,91193,4092,Low
18184,i8,2013,Asia,Blue,Petrol,Manual,2.3,100720,84361,3248,Low
26730,X6,2017,South America,Red,Petrol,Manual,2.9,73295,94337,5977,Low
12514,M3,2010,Africa,Silver,Petrol,Automatic,3.0,69170,113418,1781,Low
36055,X6,2014,Middle East,Blue,Petrol,Manual,2.5,124015,40790,5697,Low
40832,M5,2020,Africa,Red,Petrol,Manual,2.6,63249,66077,9374,High
34373,X6,2022,Europe,Blue,Hybrid,Manual,3.8,42995,86418,4642,Low
45452,X3,2021,Africa,Grey,Hybrid,Automatic,1.9,18726,82380,6359,Low
34307,i8,2018,North America,White,Diesel,Manual,1.7,105639,89719,5862,Low
46161,i3,2010,South America,Black,Diesel,Automatic,4.0,59015,99888,2665,Low
37975,3 Series,2013,North America,Blue,Hybrid,Manual,1.7,63002,50914,5491,Low
21232,5 Series,2020,Asia,Black,Electric,Manual,2.3,91313,115195,1272,Low
20326,X1,2011,Middle East,Blue,Electric,Manual,3.0,68163,115519,9540,High
27004,i8,2020,North America,Grey,Diesel,Manual,3.0,84479,58084,4430,Low
45593,5 Series,2017,South America,Blue,Petrol,Manual,4.9,46663,69794,2018,Low
25847,X1,2016,Middle East,White,Diesel,Manual,2.2,130863,82932,822,Low
7439,X3,2015,North America,White,Electric,Manual,3.0,187323,111837,682,Low
37340,3 Series,2019,Europe,Blue,Hybrid,Automatic,1.6,90738,38210,1216,Low
10026,7 Series,2016,Middle East,Red,Electric,Automatic,4.5,75834,116857,5262,Low
20965,X1,2017,South America,Silver,Diesel,Automatic,4.1,47315,69838,5858,Low
7284,X6,2023,Middle East,White,Hybrid,Automatic,4.5,170830,102740,1244,Low
30274,3 Series,2018,Europe,Silver,Diesel,Automatic,2.9,182796,107208,9386,High
49967,M5,2012,Asia,Silver,Hybrid,Automatic,4.5,144507,49244,2917,Low
31158,M3,2015,North America,Silver,Diesel,Manual,2.9,44905,76589,6942,Low
15617,M5,2012,North America,Blue,Petrol,Manual,3.0,85505,85447,4342,Low
9618,M5,2017,Africa,Silver,Electric,Automatic,2.3,106078,67952,3183,Low
28872,i8,2014,North America,White,Petrol,Automatic,3.3,52560,35656,2404,Low
37267,M3,2018,Europe,Grey,Hybrid,Manual,1.8,148690,87229,5230,Low
18810,X3,2023,Middle East,Red,Diesel,Manual,4.8,107999,45861,9328,High
32953,M3,2013,North America,Blue,Diesel,Manual,4.7,62273,45894,316,Low
29893,X6,2010,Asia,Black,Petrol,Manual,3.0,191772,42901,5816,Low
32504,M3,2013,North America,Blue,Diesel,Manual,4.1,10205,37444,8985,High
27731,M3,2024,Asia,Grey,Petrol,Automatic,2.6,180817,88227,8643,High
31313,5 Series,2011,North America,White,Electric,Manual,3.5,177578,56453,3952,Low
31844,M5,2020,Asia,Red,Petrol,Automatic,2.1,20143,87807,785,Low
4273,X6,2012,South America,Silver,Electric,Automatic,1.7,52775,35893,8290,High
47403,X3,2018,Asia,Red,Petrol,Automatic,2.7,29157,41303,6041,Low
23361,3 Series,2019,Asia,Blue,Electric,Automatic,3.9,13411,98741,8105,High
2322,i3,2011,Europe,Blue,Petrol,Manual,1.8,119242,93973,3938,Low
14972,X6,2024,Middle East,Black,Hybrid,Manual,3.7,167247,82127,8056,High
16451,X3,2010,Africa,Black,Electric,Manual,2.3,16735,63505,8679,High
14545,X3,2024,North America,Grey,Electric,Manual,4.2,162185,84831,9122,High
19313,M5,2024,Asia,Silver,Electric,Manual,1.5,193226,60406,4575,Low
23670,M3,2014,Europe,Silver,Hybrid,Automatic,3.4,110507,90211,6853,Low
37049,X3,2012,South America,Blue,Electric,Manual,2.5,178112,71873,3742,Low
45912,i3,2015,Asia,Black,Electric,Manual,3.1,9946,44321,5754,Low
26319,5 Series,2019,Asia,White,Electric,Manual,1.7,35084,100699,8016,High
33921,M3,2011,North America,Silver,Diesel,Manual,3.3,165814,49227,7912,High
6322,3 Series,2010,Africa,Silver,Hybrid,Manual,3.1,52525,86222,2874,Low
465,3 Series,2016,Africa,Silver,Hybrid,Manual,4.3,45420,55483,9417,High
3253,i8,2012,Asia,White,Diesel,Manual,4.4,184439,80440,6663,Low
10986,5 Series,2022,Africa,White,Petrol,Automatic,4.9,5214,48198,4757,Low
